Tamanho mensagem (bytes);Latencia 1 (s); Latencia 2 (s); Latencia 3 (s); Media (s)
1;0.000069;0.000053;0.000054;0.000059
10;0.000056;0.000054;0.000055;0.000055
100;0.000052;0.000058;0.000052;0.000054
200;0.000047;0.000024;0.000057;0.000043
300;0.000070;0.000057;0.000076;0.000068
400;0.000051;0.000058;0.000065;0.000058
500;0.000055;0.000062;0.000064;0.000060
600;0.000060;0.000060;0.000059;0.000059
700;0.000077;0.000082;0.000055;0.000071
800;0.000052;0.000053;0.000057;0.000054
900;0.000054;0.000056;0.000067;0.000059
1000;0.000062;0.000054;0.000058;0.000058
